letter,label,file,background
а,1,01_51.png,2
а,1,01_52.png,2
а,1,01_53.png,2
а,1,01_54.png,2
а,1,01_55.png,2
а,1,01_56.png,2
а,1,01_57.png,2
а,1,01_58.png,2
а,1,01_59.png,2
а,1,01_60.png,2
а,1,01_61.png,2
а,1,01_62.png,2
а,1,01_63.png,2
а,1,01_64.png,2
а,1,01_65.png,2
а,1,01_66.png,2
а,1,01_67.png,2
а,1,01_68.png,2
а,1,01_69.png,2
а,1,01_70.png,2
а,1,01_71.png,2
а,1,01_72.png,2
а,1,01_73.png,2
а,1,01_74.png,2
а,1,01_75.png,2
а,1,01_76.png,2
а,1,01_77.png,2
а,1,01_78.png,2
а,1,01_79.png,2
а,1,01_80.png,2
а,1,01_81.png,2
а,1,01_82.png,2
а,1,01_83.png,2
а,1,01_84.png,2
а,1,01_85.png,2
а,1,01_86.png,2
а,1,01_87.png,2
а,1,01_88.png,2
а,1,01_89.png,2
а,1,01_90.png,2
а,1,01_91.png,2
а,1,01_92.png,2
а,1,01_93.png,2
а,1,01_94.png,2
а,1,01_95.png,2
а,1,01_96.png,2
а,1,01_97.png,2
а,1,01_98.png,2
а,1,01_99.png,2
а,1,01_100.png,2
а,1,01_101.png,2
а,1,01_102.png,2
а,1,01_103.png,2
а,1,01_104.png,2
а,1,01_105.png,2
а,1,01_106.png,2
а,1,01_107.png,2
а,1,01_108.png,2
а,1,01_109.png,2
а,1,01_110.png,2
а,1,01_111.png,2
а,1,01_112.png,2
а,1,01_113.png,2
а,1,01_114.png,2
а,1,01_115.png,2
а,1,01_116.png,2
а,1,01_117.png,2
а,1,01_118.png,2
а,1,01_119.png,2
а,1,01_120.png,2
а,1,01_121.png,2
а,1,01_122.png,2
а,1,01_123.png,2
а,1,01_124.png,2
а,1,01_125.png,2
а,1,01_126.png,2
а,1,01_127.png,2
а,1,01_128.png,2
а,1,01_129.png,2
а,1,01_130.png,2
а,1,01_131.png,2
а,1,01_132.png,2
а,1,01_133.png,2
а,1,01_134.png,2
а,1,01_135.png,2
а,1,01_136.png,2
а,1,01_137.png,2
а,1,01_138.png,2
а,1,01_139.png,2
а,1,01_140.png,2
а,1,01_141.png,2
а,1,01_142.png,2
а,1,01_143.png,2
а,1,01_144.png,2
а,1,01_145.png,2
а,1,01_146.png,2
а,1,01_147.png,2
а,1,01_148.png,2
а,1,01_149.png,2
а,1,01_150.png,2
а,1,01_151.png,2
а,1,01_152.png,2
а,1,01_153.png,2
а,1,01_154.png,2
а,1,01_155.png,2
а,1,01_156.png,2
а,1,01_157.png,2
а,1,01_158.png,2
а,1,01_159.png,2
а,1,01_160.png,2
а,1,01_161.png,2
а,1,01_162.png,2
а,1,01_163.png,2
а,1,01_164.png,2
а,1,01_165.png,2
а,1,01_166.png,2
а,1,01_167.png,2
а,1,01_168.png,2
а,1,01_169.png,2
а,1,01_170.png,2
а,1,01_171.png,2
а,1,01_172.png,2
а,1,01_173.png,2
а,1,01_174.png,2
а,1,01_175.png,2
а,1,01_176.png,2
а,1,01_177.png,2
а,1,01_178.png,2
а,1,01_179.png,2
а,1,01_180.png,2
а,1,01_181.png,2
а,1,01_182.png,2
а,1,01_183.png,2
а,1,01_184.png,2
а,1,01_185.png,2
а,1,01_186.png,2
а,1,01_187.png,2
а,1,01_188.png,2
а,1,01_189.png,2
а,1,01_190.png,2
а,1,01_191.png,2
а,1,01_192.png,2
а,1,01_193.png,2
а,1,01_194.png,2
а,1,01_195.png,2
а,1,01_196.png,2
а,1,01_197.png,2
а,1,01_198.png,2
а,1,01_199.png,2
а,1,01_200.png,2
а,1,01_201.png,2
а,1,01_202.png,2
а,1,01_203.png,2
а,1,01_204.png,2
а,1,01_205.png,2
а,1,01_206.png,2
а,1,01_207.png,2
а,1,01_208.png,2
а,1,01_209.png,2
а,1,01_210.png,2
а,1,01_211.png,2
а,1,01_212.png,2
а,1,01_213.png,2
а,1,01_214.png,2
а,1,01_215.png,2
а,1,01_216.png,2
а,1,01_217.png,2
а,1,01_218.png,2
а,1,01_219.png,2
а,1,01_220.png,2
а,1,01_221.png,2
а,1,01_222.png,2
а,1,01_223.png,2
а,1,01_224.png,2
а,1,01_225.png,2
а,1,01_226.png,2
а,1,01_227.png,2
а,1,01_228.png,2
а,1,01_229.png,2
а,1,01_230.png,2
б,2,02_51.png,2
б,2,02_52.png,2
б,2,02_53.png,2
б,2,02_54.png,2
б,2,02_55.png,2
б,2,02_56.png,2
б,2,02_57.png,2
б,2,02_58.png,2
б,2,02_59.png,2
б,2,02_60.png,2
б,2,02_61.png,2
б,2,02_62.png,2
б,2,02_63.png,2
б,2,02_64.png,2
б,2,02_65.png,2
б,2,02_66.png,2
б,2,02_67.png,2
б,2,02_68.png,2
б,2,02_69.png,2
б,2,02_70.png,2
б,2,02_71.png,2
б,2,02_72.png,2
б,2,02_73.png,2
б,2,02_74.png,2
б,2,02_75.png,2
б,2,02_76.png,2
б,2,02_77.png,2
б,2,02_78.png,2
б,2,02_79.png,2
б,2,02_80.png,2
б,2,02_81.png,2
б,2,02_82.png,2
б,2,02_83.png,2
б,2,02_84.png,2
б,2,02_85.png,2
б,2,02_86.png,2
б,2,02_87.png,2
б,2,02_88.png,2
б,2,02_89.png,2
б,2,02_90.png,2
б,2,02_91.png,2
б,2,02_92.png,2
б,2,02_93.png,2
б,2,02_94.png,2
б,2,02_95.png,2
б,2,02_96.png,2
б,2,02_97.png,2
б,2,02_98.png,2
б,2,02_99.png,2
б,2,02_100.png,2
б,2,02_101.png,2
б,2,02_102.png,2
